product_name,ingredient_list,cluster,x,y
Acne Cream,"acrylates/c10-30 alkyl acrylate crosspolymer, cetyl alcohol, cyclopentasiloxane, deionized water, disodium edta, fragrance, glyceryl monostearate, glyceryl stearate (and) sorbitan monoleate (and) stearic acid (and) fatty alcohol polyoxyethylene ether, heptasodium hexacarboxymethyl dipeptide-12, hydrolyzed algin (and) zinc sulfate, isopropyl myristate, niacinamide, phenoxyethanol, ethylhexylglycerin, polyacrylate-13 (and) polyisobutene (and) polysorbate 20, polysorbate 60, propylene glycol, simmondsia chinensis (jojoba) seed oil, stearyl alcohol, titanium dioxide, tocopheryl acetate",5,15.791662,7.069069
Acne Soap 100g,"ascorbic acid, ci 15985, ci 16035, ci 19140, ci 60730, deionized water, fragrance, glycerin, limonia acidissima l., niacinamide, prunus amygdalus dulcis (sweet almond) oil, prunus armeniaca (apricot) seed powder, snail extract, sodium lauryl sulfate, sodium palmate, sodium palm kernelate, tranexamic acid",2,8.455329,0.6143291
Acne Soap 90g,"ci 15985, ci 19140, deionized water, fragrance, glycerin, niacinamide, prunus amygdalus dulcis (sweet almond) oil, sodium lauryl sulfate, sodium palmate, sodium palm kernelate, thanaka extract, water and soy protein phthalate",2,8.920232,0.13456553
Acne Treatment Face Serum,"acetyl glucosamine, acrylates/c10-30 alkyl acrylate crosspolymer, d-panthanol, deionized water, disodium edta, fragrance, glycerin, glycine soja (soybean) protein, isopentyldiol﻿, niacinamide, phenoxyethanol, ethylhexylglycerin, polysorbate 20, sophora flavescens root extract (and) glycyrrhiza inflata root extract (and) scutellaria baicalensis root extract, triethanolamine, water (and) 1,2-hexanediol (and) sodium hyaluronate",5,12.386595,1.6547827
Acne& Blackhead Soap 100 g (White Face),"deionized water, fragrance, glycerin, sodium laureth sulfate, sodium cocoyl isethionate",0,7.7452273,1.7501448
Acney Gel Acne treatment Gel 30 ml,"beta-glucan, deionized water, disodium edta, isopentyldiol, methyl propanediol, methylchloroisothiazolinone / methylisothiazolinone, peg-40 hydrogenated castor oil, polysorbate 20, salicylic acid, sodium hyaluronate, sodium polyacrylate (and) c13-14 isoalkane (formerly c13-14 isoparaffin) (and) laureth-7",5,13.037924,7.7703705
Aimee Cristal Serum,"cyclopentasiloxane, cyclotetrasiloxane, dimethiconol, fragrance, mineral oil",5,13.752726,5.822944
Aimee Hair Oil With Ginseng,"cyclopentasiloxane, cyclotetrasiloxane, dimethiconol, fragrance, mineral oil",5,13.738992,5.810624
Alcohol Gel,"ci 42090, carbomer, deionized water, ethanol, fragrance, glycerin, triethanolamine",1,11.988254,0.8852711
Almond Oil 100% Pure Moisturizing Oil,"ci 26100, ci 47000, mineral oil, prunus amygdalus dulcis (sweet almond) oil",5,9.803619,4.454956
Aloe Vera& Tea Moisturizing Soothing Gel,"carbomer, cucumis sativus (cucumber) fruit extract, deionized water, disodium edta, fragrance, glycerin, methylchloroisothiazolinone / methylisothiazolinone, peg-40 hydrogenated castor oil, triethanolamine",1,13.046794,0.34325638
Aloe vera Gel,"aloe barbadensis leaf juice, carbomer, deionized water, disodium edta, fragrance, methylchloroisothiazolinone / methylisothiazolinone, peg-40 hydrogenated castol oil, triethanolamine",1,12.483151,0.60859
Aloe vera gel,"aloe barbadensis leaf juice, carbomer, deionized water, disodium edta, fragrance, glycerin, methylchloroisothiazolinone / methylisothiazolinone, peg-40 hydrogenated castor oil, triethanolamine",1,12.623659,0.5003041
Aloe-22 Whitening Body Lotion,"acrylates/c10-30 alkyl acrylate crosspolymer, aloe barbadensis leaf extract, ascorbyl tetraisopalmitate, butyrospermum parkii (shea butter), cetyl alcohol, coco-caprylate/caprate, deionized water, disodium edta, fragrance, glycerin, glyceryl monostearate, glyceryl stearate, sorbitan monoleate, stearic acid, niaciamide, petrolatum, pisum sativum extract﻿, polyacrylate-13, polyisobutene, polysorbate 20, sodium hyaluronate, stearic acid, stearyl alcohol, titanium dioxide, undecylenoyl phenylalanine",5,15.769826,7.137119
Aloevate Plus Moisturizing Cream 100 ml.,"cetearyl alcohol (and) ceteareth-20, cetearyl alcohol, deionized water, dimethicone, disodium edta, fragrance, glycerin, glyceryl stearate, helianthus annuus (sunflower) seed oil, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, isopropyl myristate, niacinamide, phenoxyethanol (and) ethylparaben (and) methylparaben (and) propylparaben, titanium dioxide, tocopheryl acetate, vitamin b5",5,11.601928,8.387651
Aloevera Soap 130g,"ci 19140, ci 42090, deionized water, glycerin, niacinamide, pentanol, sodium palmate, sodium palm kernelate",2,8.229821,0.70593
Althlete's Foot,"aqua, carbomer, cetyl alcohol, cyclopentasiloxane, cyclotetrasiloxane, dimethiconol, glycerin, glyceryl monostearate, glyceryl stearate, sorbitan monoleate, stearic acid,  fatty alcohol polyoxyethylene ether, mineral oil, petrolatum, phenoxyethanol, ethylhexylglycerine, stearyl alcohol, titanium dioxide, triethanolamine",6,15.785616,7.486129
Anti Lice Shampoo,"ci 19140, citric acid, cocamide dea, cocamidopropyl betaine, deionized water, disodium edta, fragrance, methylchloroisothiazolinone / methylisothiazolinone, polyquaternium-7, sodium chloride, sodium laureth sulfate, sodium laureth sulfate (and) glycol distearate (and) cocamide mea (and) laureth-10, stemonic extract",3,5.205819,0.30328274
Anti- Aging Wrinkle Cream 50 ml,"cyclomethicone, cynara scolymus (artichoke) leaf extract, deionized water, disodium edta, fragrance, glycine soja (soybean) protein, methyl propanediol, mineral oil, phenoxyethanol, ethylhexylglycerin, polyacrylate-13 (and) polyisobutene (and) polysorbate 20, water (and) prunus persica (peach) resin extract (and) ethylhexylglycerin, water, 1,2 hexanediol, sodium hyaluronate, water, butylene glycol, sophora flavescens root extract, glycyrrhiza inflata root extract, scutellaria baicalensis root extract",5,13.429184,8.0391035
Anti- Frizz Hair Serum with Aloevera,"cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, isohexadecane, fragrance",4,12.1402235,5.666013
Anti- Frizz Oleo Complexe (Pink),"argania spinosa kernel oil, capric/ caprylic triglyceride, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, isohexadecane, fragrance, mineral oil, tocopheryl acetate",4,12.708954,5.382814
Anti- Frizz Oleo-Relax Nutri-Serum (Orange),"argania spinosa kernel oil, capric/ caprylic triglyceride, cyclopentasiloxane (and) cyclotetrasiloxane (and) dimethiconol, dimethicone, isohexadecane, fragrance, mineral oil, tocopheryl acetate",4,12.766521,5.382789
Anti-Acne And Dark Spot Soap 90g,"deionized water, glycerin, niacinamide, sodium palmate, sodium palm kernelate, ​ci 45410:4﻿",2,8.4488535,0.86345017
